,Model,Parameter count,Eval loss,Eval wups,Eval acc,Eval f1,Eval runtime
0,roberta_base_g_vit_orig_classifier_yes_no_untouched,213427001,2.0846965312957764,0.48360557248855185,0.44996190453154666,0.053054436288281735,206.7499
1,roberta_ms_beit_x2_hidden_yes_no_reduced,224750841,1.7728482484817505,0.521944098290229,0.49010122510189025,0.15353362089669845,191.7272
2,bert_base_g_vit_hidden_x1_yes_no_untouched,203044665,1.8646703958511353,0.5138797705541415,0.4818895352352849,0.12574612001695423,182.6935
3,roberta_base_g_vit_hidden_x1_GELU_NoDrop_yes_no_untouched,218208057,1.6442737579345703,0.5485172507991907,0.5174694933907386,0.19560307449361164,181.8073
4,roberta_base_g_vit_hidden_x1_RELU_noDrop_yes_no_untouched,218208057,1.685114860534668,0.5419915968341806,0.510902560257356,0.20789772745699878,182.43
5,roberta_g_vit_x2_hidden_yes_no_reduced,225378105,1.7220832109451294,0.5301182148368474,0.4984217591640766,0.1728676078324795,181.8188
6,bert_base_g_vit_x2_hidden_yes_no_reduced,210214713,1.764578104019165,0.5287604031918316,0.4972123792131774,0.16542734421901856,181.0132
7,roberta_base_g_vit_hidden_x1_GELU_noDrop_yes_no_reduced,218208057,1.6293635368347168,0.5458926665844703,0.5145548877090715,0.19813420178239466,184.5568
8,bert_base_beit_x2_hidden_yes_no_untouched,209587449,2.061880350112915,0.49492555696863333,0.4621161730380834,0.08412917362972527,196.3991
9,bert_base_g_vit_orig_classifier_yes_no_untouched,198263609,2.144351005554199,0.4790916689179775,0.44616445148572326,0.04755850948015388,184.8772
10,roberta_ms_beit_x2_hidden_yes_no_untouched,224750841,2.2682156562805176,0.4137650538387225,0.37840289283684253,0.031585801860045025,211.1286
11,roberta_g_vit_x2_hidden_yes_no_untouched,225378105,1.8826054334640503,0.5165543464117504,0.48461064012480803,0.14387724088229323,184.8542
12,roberta_base_g_vit_hidden_x1_yes_no_untouched,218208057,1.8050644397735596,0.5212148640031014,0.48909743974264397,0.13024206187030818,186.218
13,bert_base_g_vit_x2_hidden_yes_no_untouched,210214713,1.9566739797592163,0.5094589637133372,0.47755995501106585,0.12561124678644953,183.235
14,bert_base_beit_x2_hidden_yes_no_reduced,209587449,1.8281337022781372,0.5231293643956703,0.491999951624802,0.1432195333039192,193.4061
15,cnn_lstm_baseline,166440059,2.749781847000122,0.34979824948007465,0.3156360733851754,0.00924537210955705,306.5287
