"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_n_gpu","adafactor","adam_beta1","adam_beta2","adam_epsilon","auto_find_batch_size","bf16","bf16_full_eval","data_seed","dataloader_drop_last","dataloader_num_workers","dataloader_pin_memory","ddp_bucket_cap_mb","ddp_find_unused_parameters","ddp_timeout","debug","deepspeed","disable_tqdm","do_eval","do_predict","do_train","eval_accumulation_steps","eval_batch_size","eval_delay","eval_steps","evaluation_strategy","fp16","fp16_backend","fp16_full_eval","fp16_opt_level","fsdp","fsdp_config","fsdp_min_num_params","fsdp_transformer_layer_cls_to_wrap","full_determinism","gradient_accumulation_steps","gradient_checkpointing","greater_is_better","group_by_length","half_precision_backend","hub_model_id","hub_private_repo","hub_strategy","hub_token","ignore_data_skip","include_inputs_for_metrics","jit_mode_eval","label_names","label_smoothing_factor","learning_rate","length_column_name","load_best_model_at_end","local_rank","log_level","log_level_replica","log_on_each_node","logging_dir","logging_first_step","logging_nan_inf_filter","logging_steps","logging_strategy","lr_scheduler_type","max_grad_norm","max_steps","metric_for_best_model","mp_parameters","no_cuda","num_train_epochs","optim","optim_args","output_dir","overwrite_output_dir","past_index","per_device_eval_batch_size","per_device_train_batch_size","per_gpu_eval_batch_size","per_gpu_train_batch_size","prediction_loss_only","push_to_hub","push_to_hub_model_id","push_to_hub_organization","push_to_hub_token","ray_scope","remove_unused_columns","report_to","resume_from_checkpoint","run_name","save_on_each_node","save_steps","save_strategy","save_total_limit","seed","sharded_ddp","skip_memory_metrics","tf32","torch_compile","torch_compile_backend","torch_compile_mode","torchdynamo","tpu_metrics_debug","tpu_num_cores","train_batch_size","use_ipex","use_legacy_prediction_loop","use_mps_device","warmup_ratio","warmup_steps","weight_decay","xpu_backend","eval/acc","eval/f1","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","eval/wups","train/epoch","train/global_step","train/learning_rate","train/loss","train/total_flos","train/train_loss","train/train_runtime","train/train_samples_per_second","train/train_steps_per_second"
"roberta_base_g_vit_hidden_x1_GELU_noDrop_yes_no_reduced","crashed","-","bryantanzy","","2023-04-15T04:52:37.000Z","11139","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr15_12-52-29_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/roberta_base_g_vit_hidden_x1_GELU_noDrop_yes_no_reduced","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.4625555915279363","0.1983093657512065","2.0250768661499023","153.5773","382.133","11.942","0.5032562271779911","5","36680","9.446564885496184e-7","0.9679","0","1.7726504343546594","9891.2231","118.664","3.708"
"roberta_g_vit_x1hidden_RELU_NoDrop_YesNoUntouched_DroppedNaN","crashed","-","bryantanzy","","2023-04-14T21:31:40.000Z","16724","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr15_05-31-28_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/roberta_base_g_vit_hidden_x1_RELU_noDrop_yes_no_untouched","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.5113621246386978","0.19868490592991192","1.6391366720199585","176.9045","467.41","14.607","0.5422635816668642","5","51680","0.0000016447368421052632","0.7382","0","1.397804742110403","14012.0567","118.022","3.688"
"roberta_g_vit_x1hidden_GELU_NoDrop_YesNoUntouched_DroppedNaN","crashed","-","bryantanzy","","2023-04-14T14:55:20.000Z","23736","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr14_22-55-10_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/roberta_base_g_vit_hidden_x1_GELU_yes_no_untouched","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.5174694933907386","0.19560307449361164","1.6442737579345703","174.0294","475.132","14.848","0.5485172507991907","5","51680","0.0000016428018575851395","0.7569","0","1.3846152645146514","14085.9204","117.403","3.669"
"cnn_lstm_baseline_YesNoUntouched_DroppedNaN_batch_32","crashed","-","bryantanzy","","2023-04-14T09:45:42.000Z","14851","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr14_17-45-34_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/cnn_lstm_baseline_batch32","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.3156360733851754","0.00924537210955705","2.749781847000122","298.2662","277.226","8.663","0.34979824948007465","5","51680","0.0000016418343653250776","2.7645","0","3.116953072090267","12615.5674","131.086","4.097"
"bert_g_vit_x1hidden_YesNoUntouched_DroppedNaN","crashed","-","bryantanzy","","2023-04-14T01:33:20.000Z","17829","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr14_09-33-02_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/bert_base_g_vit_hidden_x1_yes_no_untouched","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.483231946980783","0.1173280000365541","1.853162407875061","181.3816","455.873","14.246","0.5152733936565046","5","51680","0.0000016447368421052632","1.2351","0","1.8404372932741144","14963.8744","110.515","3.454"
"roberta_g_vit_x1hidden_YesNoUntouched_DroppedNaN","crashed","-","bryantanzy","","2023-04-13T21:28:42.000Z","14613","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr14_05-28-15_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/roberta_base_g_vit_hidden_x1_yes_no_untouched","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.4894602537279137","0.13022438005379466","1.806933045387268","182.7756","452.396","14.138","0.5214238119864507","5","51680","0.0000016437693498452014","1.2426","0","1.8237512405442748","14388.1915","114.937","3.592"
"roberta_base_g_vit_orig_YesNoUntouched_DroppedNaN_2nd_run","crashed","-","bryantanzy","","2023-04-13T16:49:30.000Z","16617","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr14_00-49-18_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/roberta_base_g_vit_orig_classifier_yes_no_untouched_2nd_run","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.4501433115241816","0.053390697794648015","2.075981855392456","188.7621","438.049","13.689","0.48382652117203695","5","51680","0.000001645704334365325","1.6674","0","2.183206890094391","14978.1508","110.409","3.45"
"bert_base_g_vit_orig_YesNoUntouched_DroppedNaN","crashed","-","bryantanzy","","2023-04-13T12:42:18.000Z","14789","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr13_20-42-11_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/bert_base_g_vit_orig_classifier_yes_no_untouched","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.4463579522778671","0.044170731062468174","2.1031343936920166","185.6568","445.376","13.918","0.4794072676236989","5","51680","0.000001645704334365325","1.6727","0","2.2075934584295784","14455.3882","114.402","3.575"
"bert_base_ms_beit_x2hidden_YesNoUntouched_DroppedNaN","crashed","-","bryantanzy","","2023-04-12T23:27:07.000Z","17578","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr13_07-26-47_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/bert_base_beit_x2_hidden_yes_no_untouched","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.4621161730380834","0.08412917362972527","2.061880350112915","176.6928","467.97","14.624","0.4949255569686334","5","51680","0.0000016466718266253872","1.4457","0","2.0622848180056357","15343.4617","107.781","3.368"
"roberta_g_vit_x2hidden_YesNoUntouched_DroppedNaN","crashed","-","bryantanzy","","2023-04-12T15:39:12.000Z","27545","","","false","0.9","0.999","1e-8","false","false","false","None","false","8","true","None","None","1800","[]","None","true","true","false","false","None","32","0","2000","steps","true","auto","false","O1","[]","{'fsdp_min_num_params': 0, 'xla': False, 'xla_fsdp_grad_ckpt': False}","0","None","false","1","false","true","false","cuda_amp","None","false","every_save","<HUB_TOKEN>","false","false","false","None","0","0.00005","length","true","-1","passive","warning","true","Checkpoint_VQA_3129_Dropped_NaN/runs/Apr12_23-39-04_MiniMeshyMonster","false","true","2000","steps","linear","1","-1","wups","","false","5","adamw_hf","None","./Checkpoint_VQA_3129_Dropped_NaN/roberta_g_vit_x2_hidden_yes_no_untouched","false","-1","32","32","None","None","false","false","None","None","<PUSH_TO_HUB_TOKEN>","last","false","['tensorboard', 'wandb']","None","Checkpoint_VQA_3129_Dropped_NaN","false","2000","steps","3","12345","[]","true","None","false","None","None","None","false","None","32","false","false","false","0","0","0","None","0.484610640124808","0.14387724088229323","1.8826054334640503","164.005","504.174","15.756","0.5165543464117504","5","51680","0.0000016447368421052632","1.1648","0","1.792258755710472","13745.8798","120.307","3.76"
